SITE_ID,SITE_NAME,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
IT-Isp,Ispra ABC-IS,45.8126,8.6336,210,DBF,12.2,1300
IT-La2,Lavarone2,45.9542,11.2853,1350,ENF,7.2,1150
IT-Lav,Lavarone,45.9562,11.2813,1353,ENF,7.8,1291
IT-MBo,Monte Bondone,46.0147,11.0458,1550,GRA,5.1,1214
IT-Noe,Arca di No_ - Le Prigionette,40.6061,8.1515,28,CSH,15.9,588
IT-PT1,Parco Ticino forest,45.2009,9.061,60,DBF,12.7,984
IT-Ren,Renon,46.5869,11.4337,1730,ENF,4.7,809
IT-Ro1,Roccarespampani 1,42.4081,11.93,235,DBF,15.15,876
IT-Ro2,Roccarespampani 2,42.3903,11.9209,160,DBF,15.15,876
IT-SR2,San Rossore 2,43.732,10.291,12,ENF,14.2,920
IT-SRo,San Rossore,43.7279,10.2844,6,ENF,14.2,920
IT-Tor,Torgnon,45.8444,7.5781,2160,GRA,2.9,920
JP-MBF,Moshiri Birch Forest Site,44.3869,142.3186,,DBF,,
JP-SMF,Seto Mixed Forest Site,35.2617,137.0788,,MF,,
MY-PSO,Pasoh Forest Reserve (PSO),2.973,102.3062,,EBF,,
NL-Hor,Horstermeer,52.2404,5.0713,2.2,GRA,10,800
NL-Loo,Loobos,52.1666,5.7436,25,ENF,9.8,786
NO-Adv,Adventdalen,78.186,15.923,17,WET,,
NO-Blv,"Bayelva, Spitsbergen",78.9216,11.8311,25,SNO,-4.5,400
PA-SPn,Sardinilla Plantation,9.3181,-79.6346,78,DBF,26.5,2350
PA-SPs,Sardinilla-Pasture,9.3138,-79.6314,68,GRA,26.5,2350
RU-Che,Cherski,68.613,161.3414,4,WET,-12.5,200
RU-Cok,Chokurdakh,70.8291,147.4943,48,OSH,-14.3,232
RU-Fyo,Fyodorovskoye,56.4615,32.9221,265,ENF,3.9,711
RU-Ha1,Hakasia steppe,54.7252,90.0022,446,GRA,,
RU-Sam,Samoylov,72.3733,126.4978,,GRA,,
RU-SkP,Yakutsk Spasskaya Pad larch,62.255,129.168,246,DNF,,
RU-Tks,Tiksi,71.5943,128.8878,7,GRA,-12.7,323
RU-Vrk,Seida/Vorkuta,67.0547,62.9405,100,CSH,-5.6,501
SD-Dem,Demokeya,13.2829,30.4783,500,SAV,26,320
SE-St1,Stordalen grassland,68.3541,19.0503,351,WET,-0.7,303
SN-Dhr,Dahra,15.4028,-15.4322,40,SAV,29,404
US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,36.4267,-99.42,611,GRA,,
US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,36.6358,-99.5975,646,GRA,,
US-ARb,ARM Southern Great Plains burn site- Lamont,35.5497,-98.0402,424,GRA,,
US-ARc,ARM Southern Great Plains control site- Lamont,35.5465,-98.04,424,GRA,,
US-ARM,ARM Southern Great Plains site- Lamont,36.6058,-97.4888,314,CRO,14.76,843
US-Atq,Atqasuk,70.4696,-157.4089,15,WET,-9.7,93
US-Blo,Blodgett Forest,38.8953,-120.6328,1315,ENF,11.09,1226
US-Cop,Corral Pocket,38.09,-109.39,1520,GRA,,
US-CRT,Curtice Walter-Berger cropland,41.6285,-83.3471,180,CRO,10.1,849
US-GBT,GLEES Brooklyn Tower,41.3658,-106.2397,3191,ENF,0.8,1200
US-GLE,GLEES,41.3665,-106.2399,3197,ENF,0.8,1200
US-Goo,Goodwin Creek,34.2547,-89.8735,87,GRA,15.89,1426
US-Ha1,Harvard Forest EMS Tower (HFR1),42.5378,-72.1715,340,DBF,6.62,1071
US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),41.8406,-88.241,226.5,GRA,9.04,930
US-Ivo,Ivotuk,68.4865,-155.7503,568,WET,-8.28,304
US-KS1,Kennedy Space Center (slash pine),28.4583,-80.6709,1,ENF,21.9,1266
US-KS2,Kennedy Space Center (scrub oak),28.6086,-80.6715,3,CSH,21.66,1294
US-Lin,Lindcove Orange Orchard,36.3566,-119.8423,131,CRO,,
US-Los,Lost Creek,46.0827,-89.9792,480,WET,4.08,828
US-LWW,Little Washita Watershed,34.9604,-97.9789,365,GRA,16.09,805
US-Me1,Metolius - Eyerly burn,44.5794,-121.5,896,ENF,7.88,705
US-Me2,Metolius-intermediate aged ponderosa pine,44.4523,-121.5574,1253,ENF,6.28,523
US-Me3,Metolius-second young aged pine,44.3154,-121.6078,1005,ENF,7.07,719
