site,lat,lon,model,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AU-Tum,-35.6566,148.1517,caraib,716.6594211,679.4210303,704.4108227,675.9872742,674.7966657,664.36333,643.1144441,667.4078848,662.5510594,658.9265423,655.8959928,608.7955619,668.214296,679.7011859,632.6407599,627.4404414,656.5960291,680.8837668,715.5045161,679.6718354,614.7209302,696.0565624,744.4159411,711.9053163,688.9899425,722.6208025,711.7479152,694.113884,737.5908125,769.321382,736.3148184,700.5935432,760.5812343,769.9967256,794.6433339,676.623276,773.6305923,785.8855271,772.2288654,785.5366748
AU-Wac,-37.4259,145.1878,caraib,838.7909156,828.1541474,849.2479555,853.948683,793.8249095,778.4793802,805.4041691,817.8135364,828.1368,816.9400729,801.757308,778.4177006,790.1720354,802.534029,793.577123,798.8815077,818.4101707,874.0246192,861.4855478,843.360604,789.863878,842.4965113,888.9002286,847.1261943,825.9513467,881.1015827,859.1766862,866.3356791,922.9286455,913.3624227,896.759929,844.8170164,890.0604973,886.709124,934.7160294,837.5526382,887.7196319,902.4691709,911.5788388,959.16754
AU-Whr,-36.6732,145.0294,caraib,599.4577771,555.2137938,670.3754,660.5470441,575.7116334,533.985944,563.6524564,610.6591789,574.1494877,580.6985091,586.6478901,484.5139579,569.9039966,556.9383473,532.7332949,554.3343578,556.1976364,620.8403806,629.4484652,580.5794546,560.9564191,605.3244398,651.4613871,555.0477196,585.5793352,605.127017,601.3937767,613.3085327,639.9288171,657.3777629,627.9356836,533.0131056,633.2987576,589.6330886,643.4276267,525.6436613,603.6129139,624.4929224,607.3271371,701.5473638
AU-Wom,-37.4222,144.0944,caraib,733.7518477,717.1713497,724.7469041,722.9032914,678.6676515,679.6148153,674.0726422,678.0263239,708.4222098,684.177462,682.0663925,656.7160761,676.3377754,693.7433594,681.1555952,684.9358579,710.7770916,749.6783155,742.0937869,744.1118212,674.7329705,709.2859967,770.907855,713.1639831,708.8381017,746.5297146,717.960431,740.3782449,784.2943746,830.779173,762.2717707,722.872271,756.5701835,734.6746457,795.9069911,710.9284835,792.4605594,752.5354546,783.0547441,829.0646093
AU-Ync,-34.9893,146.2907,caraib,567.0812036,530.24969,661.2707471,690.2002296,532.6656047,515.259029,513.5848341,616.7106151,551.4358846,530.4401223,581.1050504,444.2673637,616.4945165,553.3288455,563.5344027,510.8547635,477.9802744,547.5792323,577.070988,543.0989366,470.4791092,537.0942099,565.9426298,468.9936792,585.1961507,565.0331625,542.2298275,550.1588866,606.1231879,630.4513111,543.7799613,512.1354169,676.3391204,589.2815617,617.2068552,495.154732,589.6874356,553.5919698,510.034015,617.2325417
BE-Bra,51.3092,4.5206,caraib,566.1163854,608.5184134,603.4871787,635.2667645,589.8588765,567.2893121,778.3313216,721.690674,692.7151744,733.1965468,739.2923412,713.2016469,686.1488178,690.1145264,687.7813315,664.4433701,710.5303052,715.2203381,627.8549701,638.1219108,621.9546191,719.1326828,637.3955219,685.8920132,628.8614953,563.0801527,672.9127073,699.3802498,676.881412,739.3703868,674.8410329,682.3101866,602.9328893,646.5985686,669.9154955,673.5583684,696.340684,655.4170876,619.384652,618.8590565
BE-Lon,50.5516,4.7461,caraib,494.4860667,495.6910149,485.5751713,503.1911811,457.8516372,414.347379,546.5813876,499.8224548,495.4999267,547.4224844,549.4024933,555.2228164,497.8788009,498.3136821,517.547859,506.3184582,537.097874,526.635846,473.7140951,467.6126368,471.7641098,550.1758933,477.9499286,522.489391,491.1830364,455.2056311,526.4677625,534.1723684,514.1391165,562.3000959,510.7907393,540.5836633,474.9760767,502.4267874,505.000769,531.2558691,524.5327704,522.3780033,480.7280227,466.8315734
BE-Vie,50.3051,5.9981,caraib,717.4531665,749.6206275,708.6169844,751.7173658,700.8830144,669.4702777,829.440796,778.885256,752.3543712,798.8888313,815.438319,789.0237932,779.2854765,737.0024933,757.9068716,783.3659123,793.6698305,791.7008218,759.3466059,750.463735,706.56095,825.0152099,736.1704125,834.6524889,802.375631,681.043535,814.0529489,782.7889321,789.3849694,831.3811378,776.2786103,760.3037725,751.331834,792.0426757,776.575431,806.0348422,812.2370155,783.4169306,757.3382308,684.5026334
BR-Sa3,-3.018,-54.9714,caraib,1158.285122,1229.635636,1167.541513,1105.573809,1136.357214,1175.464223,1151.052704,1136.428561,1181.773788,1179.876821,1168.305229,1112.149509,1159.434693,1055.088291,1049.283977,1092.300008,1189.744202,1102.489881,1080.47931,1139.252696,1137.481451,1129.272917,1103.211899,1072.823377,1112.101474,1064.523445,1104.888077,1094.322008,1031.333128,1015.090832,1088.492068,1049.777571,1073.924593,1063.345837,1048.013691,1008.636181,1033.081692,1005.251771,1021.761902,1037.449946
CA-Man,55.8796,-98.4808,caraib,210.9436238,187.3025157,211.3411538,210.5247372,211.6683239,203.0018887,211.7527023,191.5216814,204.9212056,224.0329806,238.2259132,247.4806535,254.5152457,230.3859029,208.1031697,224.2264199,249.9058861,257.9556803,233.5845365,235.2997496,253.6144543,211.0620176,230.1137609,217.6807317,246.776291,241.5686294,243.0450479,255.5721277,251.2675903,262.1598319,267.3664939,264.99028,255.0845423,223.5660796,259.2019844,248.8286718,219.6397415,237.6226124,240.5777867,245.2188271
