site,lat,lon,model,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AU-Emr,-23.8587,148.4746,caraib,911.2720249,885.9647425,966.3282096,1063.084364,1075.491074,1162.758057,1142.004069,1092.903311,951.5966603,925.2138304,1054.777794,831.4328165,1026.010742,1044.992111,1013.30122,1078.686026,1008.050206,1127.356937,1250.139115,979.0506946,1039.990213,985.3956187,887.8233541,859.9761175,917.2263837,948.4040132,1036.927664,1122.274002,1108.222155,1178.826942,1080.305864,911.2599947,955.6954243,895.2161318,1064.639832,1002.699461,1153.032084,1292.74794,1149.513302,1396.361927
AU-Fog,-12.5452,131.3072,caraib,1608.765992,1373.12305,1626.959941,1566.340619,1653.569579,1439.106828,1405.509284,1477.768956,1280.179469,1439.014798,1670.944793,1377.243165,1631.076698,1537.417788,1563.103893,1794.208533,1601.875767,1791.523847,1639.506062,1679.040609,1617.52415,1761.134302,1527.072819,1446.625965,1346.842274,1522.302034,1555.52974,1620.876516,1723.49803,1832.036603,1764.635406,1504.621035,1548.818633,1763.927731,1701.107572,1849.076613,1572.699842,1503.508442,1383.452018,1807.871165
AU-Gin,-31.3764,115.7138,caraib,835.0680211,738.0947402,750.0164886,803.8650478,770.0124153,825.7242386,739.8709661,760.6165828,793.4980768,795.1109267,764.2057698,844.0269188,805.7786911,922.7238705,873.4259798,920.5767912,872.5022007,874.7122972,881.9673607,1014.02427,916.0548116,1054.344903,911.7609394,808.5617843,864.5531311,825.7792659,874.4958764,850.4895906,977.2714659,1004.326314,867.9088302,900.3767671,951.3268583,888.2502434,922.4964352,1006.970313,945.4038373,1028.768171,933.3939929,901.4643407
AU-GWW,-30.1913,120.6541,caraib,304.6459036,301.7691008,362.3107519,454.3064958,501.2141684,330.1913127,283.1038868,362.9427456,353.6032981,411.4795804,357.6413614,414.0232157,379.2567554,472.5431668,417.3535849,394.4572012,475.1221464,466.2802901,445.9162013,529.1104561,432.2885577,536.2701173,537.5204243,433.3160865,584.3347107,526.0535382,546.8138396,555.4415838,632.7644828,668.0645653,637.1514079,479.2222507,563.6527954,615.2151669,495.5209236,643.2601904,522.0391601,615.5210056,575.3417646,492.9606042
AU-How,-12.4943,131.1523,caraib,1582.18505,1438.673259,1709.514553,1688.252972,1805.173844,1563.681898,1319.436925,1526.215708,1482.689436,1596.826222,1761.309707,1561.768578,1875.312378,1805.543049,1766.374659,2018.803464,1855.932478,2041.404755,1881.908798,1780.947419,1601.753735,1787.298661,1572.338666,1621.936744,1824.950618,2011.124911,1985.413102,1978.678591,2048.182176,2066.840726,1988.432264,1729.367958,1844.795771,1977.144167,1847.485166,2028.930637,1701.104546,1606.478138,1520.407404,1940.995658
AU-Lox,-34.4704,140.6551,caraib,551.6789999,502.0812856,632.4006511,714.2478577,559.8845296,574.3722754,490.5373613,535.1892242,636.7191746,578.6101052,548.1512023,467.5312619,405.6252607,391.6561088,392.3337848,425.915639,489.1323135,511.3049928,553.1741031,517.5505262,518.3386014,600.3138881,679.9606502,570.265841,622.3918527,631.6922799,616.3687785,662.2605887,650.8901091,738.9711784,694.2979693,536.8190543,613.7891188,599.5294809,662.1381953,618.8060113,657.5571776,645.8321751,655.4737741,759.9292519
AU-RDF,-14.5636,132.4776,caraib,1036.009531,952.9156464,1078.330854,1122.169946,1076.925796,1115.157368,1093.066406,900.8126691,980.0345546,980.7522344,903.0708283,972.0341204,954.5411566,1070.662263,1089.478551,1047.298966,1011.381259,914.2615592,946.7858843,930.1433538,950.8166188,990.6923316,992.9034632,1027.876355,1103.66715,1043.654097,1011.055069,1172.86491,1307.835654,1492.635205,1428.715461,1084.048758,766.4068917,877.8035628,891.9598077,1064.364035,1020.077385,1050.502611,840.8012988,924.2950088
AU-Rig,-36.6499,145.5759,caraib,1160.718669,1130.421841,1169.051283,1210.360739,1153.441609,1146.765539,1102.934456,1121.060062,1123.854148,1111.90338,1161.222948,1036.851644,1064.50011,1173.633949,1115.753986,1162.606977,1176.092224,1195.519134,1247.906964,1226.295236,1184.112629,1257.80936,1316.746851,1235.144431,1232.733184,1277.442435,1240.968076,1219.729214,1299.020117,1295.205182,1291.245466,1214.407512,1246.227105,1234.062537,1313.37981,1154.015932,1191.588813,1301.060182,1255.153015,1351.766109
AU-Rob,-17.1175,145.6301,caraib,2525.971697,2672.774815,2761.002958,2524.668013,2903.395509,2440.998591,2889.455722,3037.515878,2403.536718,2409.911961,2806.331175,2668.35791,2349.608439,2994.632218,2758.48469,2155.277942,2253.106724,3037.29238,2483.738411,2701.367141,1914.737225,1921.309608,2805.861625,2722.371858,2809.823325,2662.449843,2744.554225,3122.517677,3231.476381,3194.854006,2498.72579,1356.327448,2226.314369,2368.08658,2693.587107,2984.755137,2995.327246,3264.537728,2896.137793,3311.027153
AU-Stp,-17.1507,133.3502,caraib,394.1280287,396.0103312,438.3133175,592.1106897,520.1151708,524.2032754,505.8068523,481.7295311,522.0608478,380.1645517,443.4155855,467.1327218,462.6814502,531.1971809,454.804754,324.4460461,424.0320052,412.3160104,452.9228049,316.3242178,361.3772682,342.9134876,418.4998411,351.1280273,396.9808289,337.065825,404.9759298,446.9374017,498.5111209,682.6336728,716.6724305,491.4335006,505.1561863,544.705416,444.179647,621.7054953,565.8295652,580.0258399,552.1285594,565.1768894
