Record_number,lon,lat,year,GOME2_SIF,SCIA_SIF
88,-105.12,53.99,1999,NaN,NaN
89,-105.12,53.99,1997,NaN,NaN
89,-105.12,53.99,1998,NaN,NaN
89,-105.12,53.99,1999,NaN,NaN
90,17.5,60.08,1998,NaN,NaN
90,17.5,60.08,1999,NaN,NaN
91,17.5,60.08,1998,NaN,NaN
91,17.5,60.08,1999,NaN,NaN
92,-121.52,44.5,1998,NaN,NaN
92,-121.52,44.5,1999,NaN,NaN
93,-121.51,44.42,1998,NaN,NaN
93,-121.51,44.42,1999,NaN,NaN
94,-121.52,44.5,1999,NaN,NaN
94,-121.52,44.5,2000,NaN,NaN
95,-121.51,44.42,1999,NaN,NaN
95,-121.51,44.42,2000,NaN,NaN
96,-121.52,44.5,2000,NaN,NaN
96,-121.52,44.5,2001,NaN,NaN
97,-121.51,44.42,2000,NaN,NaN
97,-121.51,44.42,2001,NaN,NaN
98,-121.51,44.42,1996,NaN,NaN
103,-72.3,42.9,1995,NaN,NaN
103,-72.3,42.9,1996,NaN,NaN
106,-156.67,71.3,1970,NaN,NaN
106,-156.67,71.3,1971,NaN,NaN
108,-122.23,37.4,1993,NaN,NaN
108,-122.23,37.4,1994,NaN,NaN
112,-91.94,38.95,1968,NaN,NaN
112,-91.94,38.95,1969,NaN,NaN
113,10.23,54.1,1991,NaN,NaN
113,10.23,54.1,1992,NaN,NaN
120,-66.82,54.8,1986,NaN,NaN
120,-66.82,54.8,1987,NaN,NaN
121,-66.82,54.8,1986,NaN,NaN
121,-66.82,54.8,1987,NaN,NaN
122,-66.82,54.8,1986,NaN,NaN
122,-66.82,54.8,1987,NaN,NaN
130,-104.69,53.92,1993,NaN,NaN
130,-104.69,53.92,1994,NaN,NaN
131,-106.2,53.63,1993,NaN,NaN
131,-106.2,53.63,1994,NaN,NaN
132,-105.12,53.99,1993,NaN,NaN
132,-105.12,53.99,1994,NaN,NaN
133,-84.72,45.59,2003,NaN,0.83923
133,-84.72,45.59,2004,NaN,0.070515
134,-84.72,45.59,2003,NaN,0.83923
134,-84.72,45.59,2004,NaN,0.070515
135,-84.72,45.59,2003,NaN,0.83923
135,-84.72,45.59,2004,NaN,0.070515
136,-84.72,45.59,2003,NaN,0.83923
136,-84.72,45.59,2004,NaN,0.070515
137,-84.72,45.59,2003,NaN,0.83923
137,-84.72,45.59,2004,NaN,0.070515
138,-84.72,45.59,2000,NaN,NaN
138,-84.72,45.59,2001,NaN,NaN
146,-82.16,48.22,2003,NaN,0.78424
147,-82.16,48.22,2004,NaN,0.74361
148,11.64,47.58,2005,NaN,0.93974
152,-142.99,63.34,1996,NaN,NaN
152,-142.99,63.34,1997,NaN,NaN
153,-142.99,63.34,1996,NaN,NaN
153,-142.99,63.34,1997,NaN,NaN
154,-142.99,63.34,1996,NaN,NaN
154,-142.99,63.34,1997,NaN,NaN
155,-142.99,63.34,1996,NaN,NaN
155,-142.99,63.34,1997,NaN,NaN
156,-142.99,63.34,1996,NaN,NaN
156,-142.99,63.34,1997,NaN,NaN
157,-142.99,63.34,1996,NaN,NaN
157,-142.99,63.34,1997,NaN,NaN
158,-142.99,63.34,1996,NaN,NaN
158,-142.99,63.34,1997,NaN,NaN
159,-142.99,63.34,1996,NaN,NaN
159,-142.99,63.34,1997,NaN,NaN
160,-142.99,63.34,1996,NaN,NaN
160,-142.99,63.34,1997,NaN,NaN
161,-142.99,63.34,1996,NaN,NaN
161,-142.99,63.34,1997,NaN,NaN
162,-142.99,63.34,1996,NaN,NaN
162,-142.99,63.34,1997,NaN,NaN
163,-142.99,63.34,1996,NaN,NaN
163,-142.99,63.34,1997,NaN,NaN
164,-97.52,34.98,1999,NaN,NaN
172,-81.42,32.13,1986,NaN,NaN
172,-81.42,32.13,1987,NaN,NaN
172,-81.42,32.13,1988,NaN,NaN
172,-81.42,32.13,1989,NaN,NaN
173,-81.42,32.13,1986,NaN,NaN
173,-81.42,32.13,1987,NaN,NaN
173,-81.42,32.13,1988,NaN,NaN
173,-81.42,32.13,1989,NaN,NaN
174,-106.2,53.63,1993,NaN,NaN
174,-106.2,53.63,1994,NaN,NaN
175,-147.87,64.8,1997,NaN,NaN
175,-147.87,64.8,1998,NaN,NaN
176,-147.87,64.8,1997,NaN,NaN
176,-147.87,64.8,1998,NaN,NaN
177,-147.87,64.8,1997,NaN,NaN
177,-147.87,64.8,1998,NaN,NaN
178,-147.87,64.8,1997,NaN,NaN
178,-147.87,64.8,1998,NaN,NaN
179,-147.87,64.8,1997,NaN,NaN
179,-147.87,64.8,1998,NaN,NaN
180,-147.87,64.8,1997,NaN,NaN
180,-147.87,64.8,1998,NaN,NaN
184,37.58,54.83,1992,NaN,NaN
187,-72.18,42.53,1994,NaN,NaN
187,-72.18,42.53,1995,NaN,NaN
188,-72.18,42.53,1994,NaN,NaN
188,-72.18,42.53,1995,NaN,NaN
189,-72.18,42.53,1994,NaN,NaN
189,-72.18,42.53,1995,NaN,NaN
190,-72.18,42.53,1994,NaN,NaN
190,-72.18,42.53,1995,NaN,NaN
191,-72.18,42.53,1994,NaN,NaN
191,-72.18,42.53,1995,NaN,NaN
192,-72.18,42.53,1995,NaN,NaN
192,-72.18,42.53,1996,NaN,NaN
193,-72.18,42.53,1995,NaN,NaN
193,-72.18,42.53,1996,NaN,NaN
194,-72.18,42.53,1995,NaN,NaN
194,-72.18,42.53,1996,NaN,NaN
195,-72.18,42.53,1995,NaN,NaN
195,-72.18,42.53,1996,NaN,NaN
196,-72.18,42.53,1995,NaN,NaN
196,-72.18,42.53,1996,NaN,NaN
197,-68.73,45.2,1995,NaN,NaN
197,-68.73,45.2,1996,NaN,NaN
198,-68.73,45.2,1995,NaN,NaN
198,-68.73,45.2,1996,NaN,NaN
199,-68.73,45.2,1995,NaN,NaN
199,-68.73,45.2,1996,NaN,NaN
200,-68.73,45.2,1995,NaN,NaN
200,-68.73,45.2,1996,NaN,NaN
201,-68.73,45.2,1995,NaN,NaN
201,-68.73,45.2,1996,NaN,NaN
202,-72.18,42.53,1996,NaN,NaN
202,-72.18,42.53,1997,NaN,NaN
203,-72.18,42.53,1996,NaN,NaN
