Record_number,lon,lat,year,GOME2_SIF,SCIA_SIF
660,-110.5,44.57,1999,NaN,NaN
660,-110.5,44.57,2000,NaN,NaN
661,-110.5,44.57,1999,NaN,NaN
661,-110.5,44.57,2000,NaN,NaN
662,-110.5,44.57,1999,NaN,NaN
662,-110.5,44.57,2000,NaN,NaN
673,-88.88,46.85,1998,NaN,NaN
673,-88.88,46.85,1999,NaN,NaN
674,-84.85,45.55,1998,NaN,NaN
674,-84.85,45.55,1999,NaN,NaN
675,-85.83,44.38,1998,NaN,NaN
675,-85.83,44.38,1999,NaN,NaN
676,-86.15,43.67,1998,NaN,NaN
676,-86.15,43.67,1999,NaN,NaN
681,-88.88,46.85,2000,NaN,NaN
681,-88.88,46.85,2001,NaN,NaN
682,-84.85,45.55,2000,NaN,NaN
682,-84.85,45.55,2001,NaN,NaN
683,-85.83,44.38,2000,NaN,NaN
683,-85.83,44.38,2001,NaN,NaN
684,-86.15,43.67,2000,NaN,NaN
684,-86.15,43.67,2001,NaN,NaN
690,-93.47,47.53,1990,NaN,NaN
690,-93.47,47.53,1991,NaN,NaN
691,-63,-9,1991,NaN,NaN
691,-63,-9,1992,NaN,NaN
699,0.92,41.22,1990,NaN,NaN
699,0.92,41.22,1991,NaN,NaN
700,0.92,41.22,1990,NaN,NaN
700,0.92,41.22,1991,NaN,NaN
701,2.35,41.77,1990,NaN,NaN
701,2.35,41.77,1991,NaN,NaN
702,-2.58,56.91,1991,NaN,NaN
703,-2.58,56.91,1991,NaN,NaN
704,-3.43,58.43,1991,NaN,NaN
706,9.82,56.23,1993,NaN,NaN
707,9.82,56.23,1993,NaN,NaN
709,-97.33,31.1,1992,NaN,NaN
709,-97.33,31.1,1993,NaN,NaN
712,-97.33,31.1,1993,NaN,NaN
712,-97.33,31.1,1994,NaN,NaN
724,-72.2,42.5,1994,NaN,NaN
758,-89.35,43.3,1994,NaN,NaN
758,-89.35,43.3,1995,NaN,NaN
766,-121.62,44.5,1995,NaN,NaN
766,-121.62,44.5,1996,NaN,NaN
766,-121.62,44.5,1997,NaN,NaN
767,-121.62,44.5,1995,NaN,NaN
767,-121.62,44.5,1996,NaN,NaN
767,-121.62,44.5,1997,NaN,NaN
773,-47.52,-2.98,1995,NaN,NaN
774,-47.52,-2.98,1995,NaN,NaN
780,-96.58,39.08,1999,NaN,NaN
780,-96.58,39.08,2000,NaN,NaN
781,-96.58,39.08,1999,NaN,NaN
781,-96.58,39.08,2000,NaN,NaN
785,24.35,64.1,1995,NaN,NaN
785,24.35,64.1,1996,NaN,NaN
786,24.35,64.1,1995,NaN,NaN
786,24.35,64.1,1996,NaN,NaN
787,24.35,64.1,1995,NaN,NaN
787,24.35,64.1,1996,NaN,NaN
788,24.35,64.1,1996,NaN,NaN
788,24.35,64.1,1997,NaN,NaN
789,24.35,64.1,1996,NaN,NaN
789,24.35,64.1,1997,NaN,NaN
790,24.35,64.1,1996,NaN,NaN
790,24.35,64.1,1997,NaN,NaN
791,-92.2,38.8,1970,NaN,NaN
791,-92.2,38.8,1971,NaN,NaN
807,-84.28,35.97,1975,NaN,NaN
807,-84.28,35.97,1976,NaN,NaN
820,-70.65,41.58,1980,NaN,NaN
820,-70.65,41.58,1981,NaN,NaN
820,-70.65,41.58,1982,NaN,NaN
822,146.17,-18.97,1984,NaN,NaN
822,146.17,-18.97,1985,NaN,NaN
826,11.65,55.49,1996,NaN,NaN
827,11.65,55.49,1997,NaN,NaN
828,-61,5,1990,NaN,NaN
829,-61,5,1990,NaN,NaN
830,-61,5,1990,NaN,NaN
841,-98.2,27.67,1996,NaN,NaN
842,-98.2,27.67,1996,NaN,NaN
843,-98.2,27.67,1996,NaN,NaN
844,-98.2,27.67,1996,NaN,NaN
864,-84.28,35.95,1992,NaN,NaN
864,-84.28,35.95,1993,NaN,NaN
864,-84.28,35.95,1994,NaN,NaN
864,-84.28,35.95,1995,NaN,NaN
864,-84.28,35.95,1996,NaN,NaN
864,-84.28,35.95,1997,NaN,NaN
865,-86.42,39.88,1995,NaN,NaN
866,-72.17,42.53,1995,NaN,NaN
867,-84.7,45.58,1995,NaN,NaN
868,-90.08,45.78,1995,NaN,NaN
869,-125.32,49.85,1999,NaN,NaN
869,-125.32,49.85,2000,NaN,NaN
870,-125.32,49.85,1999,NaN,NaN
870,-125.32,49.85,2000,NaN,NaN
871,-125.32,49.85,1999,NaN,NaN
871,-125.32,49.85,2000,NaN,NaN
872,-125.32,49.85,1999,NaN,NaN
872,-125.32,49.85,2000,NaN,NaN
873,-125.32,49.85,1999,NaN,NaN
873,-125.32,49.85,2000,NaN,NaN
874,-125.32,49.85,1999,NaN,NaN
874,-125.32,49.85,2000,NaN,NaN
885,-149.42,68.63,1988,NaN,NaN
885,-149.42,68.63,1989,NaN,NaN
886,-149.42,68.63,1988,NaN,NaN
886,-149.42,68.63,1989,NaN,NaN
887,-96.58,39.08,1990,NaN,NaN
887,-96.58,39.08,1991,NaN,NaN
888,-96.58,39.08,1990,NaN,NaN
888,-96.58,39.08,1991,NaN,NaN
889,-96.58,39.08,1990,NaN,NaN
889,-96.58,39.08,1991,NaN,NaN
890,-96.58,39.08,1990,NaN,NaN
890,-96.58,39.08,1991,NaN,NaN
897,115.43,39.97,1993,NaN,NaN
897,115.43,39.97,1994,NaN,NaN
920,-53,5.03,1994,NaN,NaN
922,-96.58,39.08,1994,NaN,NaN
922,-96.58,39.08,1995,NaN,NaN
924,-96.58,39.08,1994,NaN,NaN
924,-96.58,39.08,1995,NaN,NaN
929,-105.5,53.83,1993,NaN,NaN
929,-105.5,53.83,1994,NaN,NaN
935,137.43,36.13,1994,NaN,NaN
936,-96.58,39.08,1996,NaN,NaN
938,-119.12,49.42,1996,NaN,NaN
939,-119.12,49.42,1996,NaN,NaN
943,-104.7,53.9,1993,NaN,NaN
943,-104.7,53.9,1994,NaN,NaN
944,-104.7,53.9,1993,NaN,NaN
944,-104.7,53.9,1994,NaN,NaN
945,-104.7,53.9,1993,NaN,NaN
945,-104.7,53.9,1994,NaN,NaN
946,-104.7,53.9,1993,NaN,NaN
946,-104.7,53.9,1994,NaN,NaN
947,-83.83,10.33,1998,NaN,NaN
948,-83.83,10.33,1998,NaN,NaN
949,-83.83,10.33,1999,NaN,NaN
950,-83.83,10.33,1999,NaN,NaN
964,0.92,41.22,2003,NaN,0.73256
965,0.92,41.22,2004,NaN,0.75017
980,11.45,50.45,2002,NaN,NaN
980,11.45,50.45,2003,NaN,0.91544
989,-1,53.91,2004,NaN,0.85629
989,-1,53.91,2005,NaN,0.89486
992,-121.53,44.6,2003,NaN,0.55913
992,-121.53,44.6,2004,NaN,0.67194
992,-121.53,44.6,2005,NaN,0.69376
993,-121.54,44.58,2003,NaN,0.55913
993,-121.54,44.58,2004,NaN,0.67194
993,-121.54,44.58,2005,NaN,0.69376
994,-121.5,44.56,2003,NaN,0.55913
994,-121.5,44.56,2004,NaN,0.67194
994,-121.5,44.56,2005,NaN,0.69376
995,-121.5,44.56,2003,NaN,0.55913
995,-121.5,44.56,2004,NaN,0.67194
995,-121.5,44.56,2005,NaN,0.69376
996,-121.54,44.57,2003,NaN,0.55913
996,-121.54,44.57,2004,NaN,0.67194
996,-121.54,44.57,2005,NaN,0.69376
997,-121.53,44.57,2003,NaN,0.55913
997,-121.53,44.57,2004,NaN,0.67194
997,-121.53,44.57,2005,NaN,0.69376
998,-121.53,44.6,2003,NaN,0.55913
998,-121.53,44.6,2004,NaN,0.67194
998,-121.53,44.6,2005,NaN,0.69376
999,-121.51,44.58,2003,NaN,0.55913
999,-121.51,44.58,2004,NaN,0.67194
999,-121.51,44.58,2005,NaN,0.69376
1000,-121.53,44.59,2003,NaN,0.55913
1000,-121.53,44.59,2004,NaN,0.67194
1000,-121.53,44.59,2005,NaN,0.69376
1001,-121.52,44.57,2003,NaN,0.55913
1001,-121.52,44.57,2004,NaN,0.67194
1001,-121.52,44.57,2005,NaN,0.69376
1002,-121.5,44.58,2003,NaN,0.55913
1002,-121.5,44.58,2004,NaN,0.67194
1002,-121.5,44.58,2005,NaN,0.69376
1003,-121.51,44.58,2003,NaN,0.55913
1003,-121.51,44.58,2004,NaN,0.67194
1003,-121.51,44.58,2005,NaN,0.69376
1004,-125.33,49.87,2002,NaN,NaN
1004,-125.33,49.87,2003,NaN,0.64733
1005,-125.33,49.87,2003,NaN,0.64733
1005,-125.33,49.87,2004,NaN,0.83395
1006,-125.33,49.87,2004,NaN,0.83395
1006,-125.33,49.87,2005,NaN,0.54972
1008,-62,45.6,2001,NaN,NaN
1008,-62,45.6,2002,NaN,NaN
1010,-62,45.6,2001,NaN,NaN
1010,-62,45.6,2002,NaN,NaN
1012,-62,45.6,2002,NaN,NaN
1012,-62,45.6,2003,NaN,0.81022
1014,-62,45.6,2002,NaN,NaN
1014,-62,45.6,2003,NaN,0.81022
1016,-147.85,64.87,2004,NaN,0.26878
1024,-120.96,38.43,2000,NaN,NaN
1024,-120.96,38.43,2001,NaN,NaN
1024,-120.96,38.43,2002,NaN,NaN
1024,-120.96,38.43,2003,NaN,0.73119
1024,-120.96,38.43,2004,NaN,0.72165
1024,-120.96,38.43,2005,NaN,0.75284
1024,-120.96,38.43,2006,NaN,0.74972
1025,-120.95,38.41,2000,NaN,NaN
1025,-120.95,38.41,2001,NaN,NaN
1025,-120.95,38.41,2002,NaN,NaN
1025,-120.95,38.41,2003,NaN,0.73119
1025,-120.95,38.41,2004,NaN,0.72165
1025,-120.95,38.41,2005,NaN,0.75284
1025,-120.95,38.41,2006,NaN,0.74972
1026,145.23,-37.44,2004,NaN,0.64039
1026,145.23,-37.44,2005,NaN,0.89511
1027,145.23,-37.44,2004,NaN,0.64039
1027,145.23,-37.44,2005,NaN,0.89511
1028,145.23,-37.44,2004,NaN,0.64039
1028,145.23,-37.44,2005,NaN,0.89511
1036,7.06,48.67,2004,NaN,1.2525
1037,7.07,48.68,2004,NaN,1.2525
1039,136,34.97,2002,NaN,NaN
1039,136,34.97,2003,NaN,0.68284
1040,136,34.97,2003,NaN,0.68284
1040,136,34.97,2004,NaN,0.88005
1041,-110.5,45,2004,NaN,0.30447
1041,-110.5,45,2005,NaN,0.32125
1042,-110.5,45,2004,NaN,0.30447
1042,-110.5,45,2005,NaN,0.32125
1043,-110.5,45,2004,NaN,0.30447
1043,-110.5,45,2005,NaN,0.32125
1044,-110.5,45,2004,NaN,0.30447
1044,-110.5,45,2005,NaN,0.32125
1045,-110.5,45,2004,NaN,0.30447
1045,-110.5,45,2005,NaN,0.32125
1051,4.52,51.31,2000,NaN,NaN
1051,4.52,51.31,2001,NaN,NaN
1052,4.52,51.31,2000,NaN,NaN
1052,4.52,51.31,2001,NaN,NaN
1053,4.52,51.31,2000,NaN,NaN
1053,4.52,51.31,2001,NaN,NaN
1054,4.52,51.31,2000,NaN,NaN
1054,4.52,51.31,2001,NaN,NaN
1055,4.52,51.31,2000,NaN,NaN
1055,4.52,51.31,2001,NaN,NaN
1056,4.52,51.31,2000,NaN,NaN
1056,4.52,51.31,2001,NaN,NaN
1057,-51.46,-1.72,2002,NaN,NaN
1059,-83.48,35.57,2002,NaN,NaN
1059,-83.48,35.57,2003,NaN,1.6488
1060,-83.48,35.57,2002,NaN,NaN
1060,-83.48,35.57,2003,NaN,1.6488
1061,-83.48,35.57,2002,NaN,NaN
1061,-83.48,35.57,2003,NaN,1.6488
1062,-83.48,35.57,2002,NaN,NaN
1062,-83.48,35.57,2003,NaN,1.6488
1068,-96.58,39.08,1996,NaN,NaN
1068,-96.58,39.08,1997,NaN,NaN
1069,145.63,-17.28,2000,NaN,NaN
1070,145.9,-17.27,2000,NaN,NaN
1071,145.97,-17.55,2000,NaN,NaN
1072,137.43,36.13,1998,NaN,NaN
1072,137.43,36.13,1999,NaN,NaN
1073,137.43,36.13,1999,NaN,NaN
1073,137.43,36.13,2000,NaN,NaN
1083,-62,45.6,2000,NaN,NaN
1085,-62,45.6,2000,NaN,NaN
1086,131.13,-12.47,1998,NaN,NaN
1086,131.13,-12.47,1999,NaN,NaN
1086,131.13,-12.47,2000,NaN,NaN
1088,-146.73,64.62,1998,NaN,NaN
1088,-146.73,64.62,1999,NaN,NaN
1093,-147.08,65.27,1998,NaN,NaN
1093,-147.08,65.27,1999,NaN,NaN
1094,-147.08,65.27,1998,NaN,NaN
1094,-147.08,65.27,1999,NaN,NaN
1095,-147.08,65.27,1999,NaN,NaN
1095,-147.08,65.27,2000,NaN,NaN
1096,-147.08,65.27,1999,NaN,NaN
1096,-147.08,65.27,2000,NaN,NaN
1097,37.58,54.83,1997,NaN,NaN
1097,37.58,54.83,1998,NaN,NaN
1097,37.58,54.83,1999,NaN,NaN
1097,37.58,54.83,2000,NaN,NaN
1098,37.58,54.83,1997,NaN,NaN
1098,37.58,54.83,1998,NaN,NaN
1098,37.58,54.83,1999,NaN,NaN
1098,37.58,54.83,2000,NaN,NaN
1099,37.58,54.83,1997,NaN,NaN
1099,37.58,54.83,1998,NaN,NaN
1099,37.58,54.83,1999,NaN,NaN
1099,37.58,54.83,2000,NaN,NaN
1100,37.58,54.83,1997,NaN,NaN
1100,37.58,54.83,1998,NaN,NaN
1100,37.58,54.83,1999,NaN,NaN
1100,37.58,54.83,2000,NaN,NaN
1102,-71.1,47.32,1996,NaN,NaN
1102,-71.1,47.32,1997,NaN,NaN
1103,-71.1,47.32,1997,NaN,NaN
1103,-71.1,47.32,1998,NaN,NaN
1104,-71.1,47.32,1998,NaN,NaN
1104,-71.1,47.32,1999,NaN,NaN
1105,-71.1,47.32,1999,NaN,NaN
1105,-71.1,47.32,2000,NaN,NaN
1106,-68.15,47.73,1996,NaN,NaN
1106,-68.15,47.73,1997,NaN,NaN
1107,-68.15,47.73,1997,NaN,NaN
1107,-68.15,47.73,1998,NaN,NaN
1108,-68.15,47.73,1998,NaN,NaN
1108,-68.15,47.73,1999,NaN,NaN
1109,-68.15,47.73,1999,NaN,NaN
1109,-68.15,47.73,2000,NaN,NaN
1110,-66.38,46.03,1996,NaN,NaN
1110,-66.38,46.03,1997,NaN,NaN
1111,-66.38,46.03,1997,NaN,NaN
1111,-66.38,46.03,1998,NaN,NaN
1112,-66.38,46.03,1998,NaN,NaN
1112,-66.38,46.03,1999,NaN,NaN
1113,-66.38,46.03,1999,NaN,NaN
1113,-66.38,46.03,2000,NaN,NaN
1114,137.43,37.33,1999,NaN,NaN
1114,137.43,37.33,2000,NaN,NaN
1114,137.43,37.33,2001,NaN,NaN
1126,-97.4,35.2,2001,NaN,NaN
1134,162.95,5.33,2001,NaN,NaN
1135,163.03,5.29,2001,NaN,NaN
1137,158.25,6.8,2001,NaN,NaN
1138,-159.62,22.15,2001,NaN,NaN
1139,-156.13,20.73,2001,NaN,NaN
1144,-62.5,-10.5,1993,NaN,NaN
1145,-62.5,-10.5,1993,NaN,NaN
1146,-62.5,-10.5,1993,NaN,NaN
1147,-62.5,-10.5,1991,NaN,NaN
1147,-62.5,-10.5,1992,NaN,NaN
1147,-62.5,-10.5,1993,NaN,NaN
1147,-62.5,-10.5,1994,NaN,NaN
1147,-62.5,-10.5,1995,NaN,NaN
1147,-62.5,-10.5,1996,NaN,NaN
1147,-62.5,-10.5,1997,NaN,NaN
1147,-62.5,-10.5,1998,NaN,NaN
1148,-62.5,-10.5,1991,NaN,NaN
1148,-62.5,-10.5,1992,NaN,NaN
1148,-62.5,-10.5,1993,NaN,NaN
1148,-62.5,-10.5,1994,NaN,NaN
1148,-62.5,-10.5,1995,NaN,NaN
1148,-62.5,-10.5,1996,NaN,NaN
1148,-62.5,-10.5,1997,NaN,NaN
1148,-62.5,-10.5,1998,NaN,NaN
1149,-62.5,-10.5,1993,NaN,NaN
1150,-62.5,-10.5,1993,NaN,NaN
1151,-104.63,53.85,1998,NaN,NaN
1151,-104.63,53.85,1999,NaN,NaN
1152,-104.66,53.91,1998,NaN,NaN
1152,-104.66,53.91,1999,NaN,NaN
1153,-104.65,53.91,1998,NaN,NaN
1153,-104.65,53.91,1999,NaN,NaN
1154,-104.65,53.88,1998,NaN,NaN
1154,-104.65,53.88,1999,NaN,NaN
1155,-104.69,53.92,1998,NaN,NaN
1155,-104.69,53.92,1999,NaN,NaN
1156,-104.63,53.85,1999,NaN,NaN
1156,-104.63,53.85,2000,NaN,NaN
1157,-104.66,53.91,1999,NaN,NaN
1157,-104.66,53.91,2000,NaN,NaN
1158,-104.65,53.91,1999,NaN,NaN
1158,-104.65,53.91,2000,NaN,NaN
1159,-104.65,53.88,1999,NaN,NaN
1159,-104.65,53.88,2000,NaN,NaN
1160,-104.69,53.92,1999,NaN,NaN
1160,-104.69,53.92,2000,NaN,NaN
1161,-84.67,34.91,2000,NaN,NaN
1163,170.15,-44.23,1998,NaN,NaN
1163,170.15,-44.23,1999,NaN,NaN
1175,-89.62,46.67,1997,NaN,NaN
1175,-89.62,46.67,1998,NaN,NaN
1176,-89.62,46.67,1998,NaN,NaN
1176,-89.62,46.67,1999,NaN,NaN
1177,-89.62,46.67,1999,NaN,NaN
1177,-89.62,46.67,2000,NaN,NaN
1178,-89.62,46.67,2000,NaN,NaN
1178,-89.62,46.67,2001,NaN,NaN
1179,-89.62,46.67,1997,NaN,NaN
1179,-89.62,46.67,1998,NaN,NaN
1180,-89.62,46.67,1998,NaN,NaN
1180,-89.62,46.67,1999,NaN,NaN
1181,-89.62,46.67,1999,NaN,NaN
1181,-89.62,46.67,2000,NaN,NaN
1182,-89.62,46.67,2000,NaN,NaN
1182,-89.62,46.67,2001,NaN,NaN
1183,11.8,42.37,1999,NaN,NaN
1183,11.8,42.37,2000,NaN,NaN
1184,11.8,42.37,2000,NaN,NaN
1184,11.8,42.37,2001,NaN,NaN
1185,11.8,42.37,1999,NaN,NaN
1185,11.8,42.37,2000,NaN,NaN
1186,11.8,42.37,2000,NaN,NaN
1186,11.8,42.37,2001,NaN,NaN
1187,11.8,42.37,1999,NaN,NaN
1187,11.8,42.37,2000,NaN,NaN
1188,11.8,42.37,2000,NaN,NaN
1188,11.8,42.37,2001,NaN,NaN
1229,-20.57,74.47,1998,NaN,NaN
1229,-20.57,74.47,1999,NaN,NaN
1231,-98.2,27.67,1995,NaN,NaN
1231,-98.2,27.67,1996,NaN,NaN
1232,-98.2,27.67,1995,NaN,NaN
1232,-98.2,27.67,1996,NaN,NaN
1233,-98.2,27.67,1995,NaN,NaN
1233,-98.2,27.67,1996,NaN,NaN
1234,-98.2,27.67,1995,NaN,NaN
1234,-98.2,27.67,1996,NaN,NaN
1238,30.97,62.78,1996,NaN,NaN
1238,30.97,62.78,1997,NaN,NaN
1242,30.97,62.78,1997,NaN,NaN
1242,30.97,62.78,1998,NaN,NaN
1246,30.97,62.78,1998,NaN,NaN
1246,30.97,62.78,1999,NaN,NaN
1250,30.97,62.78,1999,NaN,NaN
1250,30.97,62.78,2000,NaN,NaN
1254,163.25,-77.61,2002,NaN,NaN
1255,162.89,-77.62,2002,NaN,NaN
1256,162.46,-77.7,2002,NaN,NaN
1261,-96,39,1999,NaN,NaN
1262,-96,39,1999,NaN,NaN
1280,-72.18,42.53,2001,NaN,NaN
1280,-72.18,42.53,2002,NaN,NaN
1287,-83.62,8.72,2003,NaN,1.8776
1287,-83.62,8.72,2004,NaN,1.7008
1290,-119.03,36.97,1999,NaN,NaN
1290,-119.03,36.97,2000,NaN,NaN
1291,-119.03,36.97,2001,NaN,NaN
1291,-119.03,36.97,2002,NaN,NaN
1292,-119.03,36.97,2002,NaN,NaN
1292,-119.03,36.97,2003,NaN,0.72753
1293,-119.03,36.97,2003,NaN,0.72753
1293,-119.03,36.97,2004,NaN,0.7571
1294,-119.03,36.97,1999,NaN,NaN
1294,-119.03,36.97,2000,NaN,NaN
1298,-119.03,36.97,1999,NaN,NaN
1298,-119.03,36.97,2000,NaN,NaN
1302,-119.03,36.97,1999,NaN,NaN
1302,-119.03,36.97,2000,NaN,NaN
1306,-119.03,36.97,1999,NaN,NaN
1306,-119.03,36.97,2000,NaN,NaN
1310,-119.03,36.97,1999,NaN,NaN
1310,-119.03,36.97,2000,NaN,NaN
1314,-68.73,45.2,1996,NaN,NaN
1314,-68.73,45.2,1997,NaN,NaN
1315,-68.73,45.2,1997,NaN,NaN
1315,-68.73,45.2,1998,NaN,NaN
1316,-68.73,45.2,1998,NaN,NaN
1316,-68.73,45.2,1999,NaN,NaN
1317,-68.73,45.2,1999,NaN,NaN
1317,-68.73,45.2,2000,NaN,NaN
1318,-68.73,45.2,1999,NaN,NaN
1318,-68.73,45.2,2000,NaN,NaN
1319,-68.73,45.2,1999,NaN,NaN
1319,-68.73,45.2,2000,NaN,NaN
1320,-68.73,45.2,1999,NaN,NaN
1320,-68.73,45.2,2000,NaN,NaN
1321,-72.18,42.53,1995,NaN,NaN
1321,-72.18,42.53,1996,NaN,NaN
1322,-72.18,42.53,1996,NaN,NaN
1322,-72.18,42.53,1997,NaN,NaN
1323,-72.18,42.53,1997,NaN,NaN
1323,-72.18,42.53,1998,NaN,NaN
1324,-72.18,42.53,1998,NaN,NaN
1324,-72.18,42.53,1999,NaN,NaN
1325,-72.18,42.53,1999,NaN,NaN
1325,-72.18,42.53,2000,NaN,NaN
1326,-72.18,42.53,2000,NaN,NaN
1326,-72.18,42.53,2001,NaN,NaN
1327,-72.18,42.53,2001,NaN,NaN
1327,-72.18,42.53,2002,NaN,NaN
1328,-72.18,42.53,2002,NaN,NaN
1328,-72.18,42.53,2003,NaN,1.1222
1331,-109.75,37.98,2001,NaN,NaN
1331,-109.75,37.98,2002,NaN,NaN
1331,-109.75,37.98,2003,NaN,0.15085
1332,-83.38,46.35,1996,NaN,NaN
1332,-83.38,46.35,1997,NaN,NaN
1337,-83.38,46.35,1997,NaN,NaN
1337,-83.38,46.35,1998,NaN,NaN
1342,-100.92,46.77,2001,NaN,NaN
1342,-100.92,46.77,2002,NaN,NaN
1345,8.93,46.01,2001,NaN,NaN
1345,8.93,46.01,2002,NaN,NaN
1346,-106.2,53.7,2000,NaN,NaN
1346,-106.2,53.7,2001,NaN,NaN
1347,-106.2,53.7,2001,NaN,NaN
1347,-106.2,53.7,2002,NaN,NaN
1348,-106.2,53.7,2002,NaN,NaN
1348,-106.2,53.7,2003,NaN,0.53572
1353,19.77,64.23,2000,NaN,NaN
1353,19.77,64.23,2001,NaN,NaN
1354,11.45,50.45,2001,NaN,NaN
1354,11.45,50.45,2002,NaN,NaN
1355,11.45,50.45,2001,NaN,NaN
1355,11.45,50.45,2002,NaN,NaN
1364,-93.17,45.5,1965,NaN,NaN
1365,-93.17,45.5,1965,NaN,NaN
1366,-93.17,45.5,1965,NaN,NaN
1367,-92.2,38.75,1969,NaN,NaN
1370,121.42,24.58,2005,NaN,0.84884
1370,121.42,24.58,2006,NaN,1.0816
1374,-84.72,45.59,1998,NaN,NaN
1374,-84.72,45.59,1999,NaN,NaN
1375,-84.72,45.59,1999,NaN,NaN
1375,-84.72,45.59,2000,NaN,NaN
1376,-84.72,45.59,2000,NaN,NaN
1376,-84.72,45.59,2001,NaN,NaN
1377,-84.72,45.59,2001,NaN,NaN
1377,-84.72,45.59,2002,NaN,NaN
1378,-84.72,45.59,2002,NaN,NaN
1378,-84.72,45.59,2003,NaN,0.83923
1379,-71.27,42.15,2002,NaN,NaN
1379,-71.27,42.15,2003,NaN,1.3688
1380,-71.27,42.15,2002,NaN,NaN
1380,-71.27,42.15,2003,NaN,1.3688
1381,-71.27,42.15,2002,NaN,NaN
1381,-71.27,42.15,2003,NaN,1.3688
1382,-71.27,42.15,2002,NaN,NaN
1382,-71.27,42.15,2003,NaN,1.3688
1383,-71.27,42.15,2002,NaN,NaN
1383,-71.27,42.15,2003,NaN,1.3688
1384,-71.27,42.15,2002,NaN,NaN
1384,-71.27,42.15,2003,NaN,1.3688
1385,-71.27,42.15,2002,NaN,NaN
1385,-71.27,42.15,2003,NaN,1.3688
1386,-71.27,42.15,2002,NaN,NaN
1386,-71.27,42.15,2003,NaN,1.3688
1389,135.85,34.78,2002,NaN,NaN
1390,102.3,2.97,2002,NaN,NaN
1390,102.3,2.97,2003,NaN,1.8351
1391,102.3,2.97,2003,NaN,1.8351
1391,102.3,2.97,2004,NaN,1.7721
1392,102.3,2.97,2004,NaN,1.7721
1392,102.3,2.97,2005,NaN,1.8241
1393,112.43,37.71,2005,NaN,0.51311
1394,112.42,37.71,2005,NaN,0.51311
1395,112.42,37.72,2005,NaN,0.51311
1396,112.4,37.74,2005,NaN,0.51311
1397,112.39,37.74,2005,NaN,0.51311
1398,112.38,37.74,2005,NaN,0.51311
1399,112.38,37.74,2005,NaN,0.51311
1400,112.38,37.74,2005,NaN,0.51311
1401,112.38,37.75,2005,NaN,0.51311
1402,112.38,37.74,2005,NaN,0.51311
1404,10.45,51.08,2005,NaN,1.2465
1404,10.45,51.08,2006,NaN,0.98645
1405,11.46,50.45,2005,NaN,1.0453
1405,11.46,50.45,2006,NaN,0.97237
1406,-113.42,42.5,2004,NaN,0.45081
1406,-113.42,42.5,2005,NaN,0.52708
1410,114.03,4.2,2002,NaN,NaN
1411,-110.87,46.92,2004,NaN,0.30414
1411,-110.87,46.92,2005,NaN,0.43017
1412,-110.87,46.92,2004,NaN,0.30414
1412,-110.87,46.92,2005,NaN,0.43017
1413,-106,54.08,2003,NaN,0.30953
1413,-106,54.08,2004,NaN,0.23446
1413,-106,54.08,2005,NaN,0.30362
1414,-105.87,54.25,2003,NaN,0.30953
1414,-105.87,54.25,2004,NaN,0.23446
1414,-105.87,54.25,2005,NaN,0.30362
1415,-105.82,54.49,2003,NaN,0.30953
1415,-105.82,54.49,2004,NaN,0.23446
1415,-105.82,54.49,2005,NaN,0.30362
1416,-89.35,46.24,2001,NaN,NaN
1416,-89.35,46.24,2002,NaN,NaN
1417,-89.35,46.24,2001,NaN,NaN
1417,-89.35,46.24,2002,NaN,NaN
1418,-89.35,46.24,2002,NaN,NaN
1418,-89.35,46.24,2003,NaN,1.0408
1419,-89.35,46.24,2002,NaN,NaN
1419,-89.35,46.24,2003,NaN,1.0408
1429,-125.32,49.85,2004,NaN,0.83395
1442,-60,-3,1984,NaN,NaN
1442,-60,-3,1985,NaN,NaN
1443,-72.17,42.5,1990,NaN,NaN
1443,-72.17,42.5,1991,NaN,NaN
1445,-98.42,55.91,1993,NaN,NaN
1445,-98.42,55.91,1994,NaN,NaN
1446,-98.42,55.91,1993,NaN,NaN
1446,-98.42,55.91,1994,NaN,NaN
1447,-98.42,55.91,1993,NaN,NaN
1447,-98.42,55.91,1994,NaN,NaN
1448,-98.42,55.91,1993,NaN,NaN
1448,-98.42,55.91,1994,NaN,NaN
1449,-98.42,55.91,1993,NaN,NaN
1449,-98.42,55.91,1994,NaN,NaN
1450,-98.42,55.91,1993,NaN,NaN
1450,-98.42,55.91,1994,NaN,NaN
1454,-105.25,53.75,1993,NaN,NaN
1454,-105.25,53.75,1994,NaN,NaN
1455,-105.25,53.75,1993,NaN,NaN
1455,-105.25,53.75,1994,NaN,NaN
1456,-105.25,53.75,1993,NaN,NaN
1456,-105.25,53.75,1994,NaN,NaN
1457,-98.48,55.88,1993,NaN,NaN
1457,-98.48,55.88,1994,NaN,NaN
1458,-98.33,55.83,1993,NaN,NaN
1458,-98.33,55.83,1994,NaN,NaN
1459,-98.33,55.83,1993,NaN,NaN
1459,-98.33,55.83,1994,NaN,NaN
1462,-148.36,64.69,1995,NaN,NaN
1462,-148.36,64.69,1996,NaN,NaN
1463,-148.15,64.72,1995,NaN,NaN
1463,-148.15,64.72,1996,NaN,NaN
1466,-148.36,64.69,1996,NaN,NaN
1466,-148.36,64.69,1997,NaN,NaN
1467,-148.15,64.72,1996,NaN,NaN
1467,-148.15,64.72,1997,NaN,NaN
1471,-74.23,43.98,1992,NaN,NaN
