FLUXNET_SITE_ID,Record_number,IGBP,Year,NEE_VUT_REF_NIGHT,TA_F,P_F,NEE_VUT_REF_QC,GPP_DT_VUT_REF,gpp_fluxnet,RECO_DT_VUT_REF,RECO_NT_VUT_REF,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,mat_fluxnet,map_fluxnet,GOME2_SIF,SCIA_SIF,Study_midyear,Site_name,YearsOfData,Longitude,Latitude,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,mat_srdb,map_srdb,Study_temp,Study_precip,Partition_method,Rs_annual,Rh_annual,Ra_annual,gpp_srdb,ER,FLUXNET_DIST,FLUXNET_ECOSYSTEM_MATCH,tmp_hadcrut4,mat_hadcrut4,tmp_trend,tmp_trend_p,pre_hadcrut4,map_hadcrut4,pre_trend,pre_trend_p,pet,pet_norm,pet_trend,pet_trend_p,gpp_beer,gpp_modis,SOC,gpp_isimip,sm,sm_norm,sm_sd,sm_sd_norm
CA-NS5,11,ENF,2001,344.72936751998395,-0.591,257.587,0.326084,1372.5,1224.79,1179.85,770.025,55.8631,-98.485,260,-2.86,500,NaN,NaN,2001.5,BOREAS NSA-W1981,1.5,-98.48,55.86,Boreal,Forest,Natural,Mixed,Aggrading,0.8,450,NA,NA,Exclusion,570,354,216,NA,NA,0.46507339384870067,TRUE,-5.5888888888888895,-3.253888888888889,0.06231203007518929,0.1871723899711428,448.4666666666667,507.13000000000005,3.6091729323309485,0.6691096119118335,379.19444444444446,525.3972222222222,0.8278822055138241,200.69547030647394,426.64443313544797,529.5333333333333,77.349,693.6615067756886,0.31039999215863645,0.3090740662662062,0.06634999832385802,0.04847036914590582
CA-NS3,12,ENF,2001,481.82173571916,-0.778,210.442,0.410731,881.879,732.054,827.387,802.96,55.9117,-98.3822,260,-2.87,502,NaN,NaN,2001.5,BOREAS NSA-W1964,1.5,-98.39,55.92,Boreal,Forest,Natural,Evergreen,Aggrading,0.8,450,NA,NA,Exclusion,397,330,67,NA,NA,1.0433796119301382,TRUE,-5.5888888888888895,-3.253888888888889,0.06231203007518929,0.1871723899711428,448.4666666666667,507.13000000000005,3.6091729323309485,0.6691096119118335,379.19444444444446,525.3972222222222,0.8278822055138241,200.69547030647394,426.64443313544797,537.8666666666667,91.256,693.6615067756886,0.31039999215863645,0.3090740662662062,0.06634999832385802,0.04847036914590582
CA-NS2,13,ENF,2001,347.383775102904,-1.039,280.479,0.401655,1164.84,1126.71,641.863,694.915,55.9058,-98.5247,260,-2.88,500,NaN,NaN,2001.5,BOREAS NSA-W1930,1.5,-98.51,55.91,Boreal,Forest,Natural,Evergreen,Mature,0.8,450,NA,NA,Exclusion,338,290,48,NA,NA,1.0286653446079552,TRUE,-5.238888888888889,-2.9555555555555557,0.059172932330828286,0.2022332428626785,414.1333333333333,486.50666666666666,3.3721052631579527,0.8875869314442697,399.4722222222223,538.9833333333333,0.786716791980019,215.7558086923466,402.91943654580115,531.6666666666667,80.886,694.7910240644087,0.30074999240241596,0.3093111032972552,0.06504999835669878,0.05442962825462153
CA-Man,14,ENF,2001,215.97339961814401,-0.028,270.998,0.954452,802.722,681.068,749.696,621.729,55.8796,-98.4808,259,-3.2,520,NaN,NaN,2001.5,BOREAS NSA-W1850; NOBS,1.5,-98.48,55.88,Boreal,Forest,Natural,Evergreen,Mature,0.8,450,NA,NA,Exclusion,375,352,23,NA,NA,0.0668628146864955,TRUE,-5.5888888888888895,-3.253888888888889,0.06231203007518929,0.1871723899711428,448.4666666666667,507.13000000000005,3.6091729323309485,0.6691096119118335,379.19444444444446,525.3972222222222,0.8278822055138241,200.69547030647394,426.64443313544797,529.5333333333333,84.258,693.6615067756886,0.31039999215863645,0.3090740662662062,0.06634999832385802,0.04847036914590582
CA-NS7,15,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,1999.5,BOREAS NSA-D1998,1.5,-99.94,56.63,Boreal,Forest,Natural,Evergreen,Aggrading,0.8,450,NA,NA,NA,226,NA,NA,NA,NA,0.8209625665937097,FALSE,-5.261111111111112,-3.6519444444444447,0.05643483709273233,0.21807217782432448,343.0666666666667,458.28666666666663,2.0196240601503557,3.5453803127527603,377.1666666666667,530.3652777777778,0.6312030075188532,230.40747433032976,382.03332735364813,NA,95.338,740.7782425222531,0.29744999248578097,0.2559954480784654,0.0544499986244773,0.02880454472688143
CA-NS7,16,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,1999.5,BOREAS NSA-D1995,1.5,-99.97,56.46,Boreal,Forest,Natural,Deciduous,Aggrading,0.8,450,NA,NA,NA,412,NA,NA,NA,NA,19.598796600923762,FALSE,-4.677777777777778,-3.0786111111111114,0.053809523809524605,0.2354048456326406,361.33333333333337,475.3766666666667,2.66278195488722,2.487182431978754,387.30555555555554,543.85,0.8095864661654976,200.85038848046543,398.05277015725335,NA,80.504,756.9317900610038,0.2970999924946227,0.30304999234431307,0.05599999858532101,0.05147666536625669
CA-NS6,17,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,1999.5,BOREAS NSA-D1989,1.5,-98.98,55.91,Boreal,Forest,Natural,Deciduous,Aggrading,0.8,450,NA,NA,NA,357,NA,NA,NA,NA,1.2251531740905686,FALSE,-4.566666666666666,-2.9555555555555557,0.059172932330828286,0.2022332428626785,408.4666666666667,486.50666666666666,3.3721052631579527,0.8875869314442697,391.3611111111112,538.9833333333333,0.786716791980019,215.7558086923466,420.76388703771164,NA,83.727,741.7965724861672,0.2938999925754615,0.3166655092417355,0.05649999857268995,0.056713791670737354
CA-NS5,18,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,1999.5,BOREAS NSA-D1981,1.5,-98.48,55.86,Boreal,Forest,Natural,Mixed,Aggrading,0.8,450,NA,NA,NA,413,NA,NA,NA,NA,0.46507339384870067,FALSE,-4.883333333333334,-3.253888888888889,0.06231203007518929,0.1871723899711428,441.33333333333337,507.13000000000005,3.6091729323309485,0.6691096119118335,389.3333333333333,525.3972222222222,0.8278822055138241,200.69547030647394,442.866671166664,NA,77.349,731.7411543624341,0.29534999253883143,0.3090740662662062,0.05199999868636951,0.04847036914590582
CA-NS3,19,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,1999.5,BOREAS NSA-D1964,1.5,-98.39,55.92,Boreal,Forest,Natural,Evergreen,Aggrading,0.8,450,NA,NA,NA,350,NA,NA,NA,NA,1.0433796119301382,FALSE,-4.883333333333334,-3.253888888888889,0.06231203007518929,0.1871723899711428,441.33333333333337,507.13000000000005,3.6091729323309485,0.6691096119118335,389.3333333333333,525.3972222222222,0.8278822055138241,200.69547030647394,442.866671166664,NA,91.256,731.7411543624341,0.29534999253883143,0.3090740662662062,0.05199999868636951,0.04847036914590582
CA-NS2,20,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,1999.5,BOREAS NSA-D1930,1.5,-98.52,55.91,Boreal,Forest,Natural,Evergreen,Mature,0.8,450,NA,NA,NA,274,NA,NA,NA,NA,0.5514448846067365,FALSE,-4.566666666666666,-2.9555555555555557,0.059172932330828286,0.2022332428626785,408.4666666666667,486.50666666666666,3.3721052631579527,0.8875869314442697,391.3611111111112,538.9833333333333,0.786716791980019,215.7558086923466,420.76388703771164,NA,83.286,741.7965724861672,0.2979499924731499,0.3093111032972552,0.053399998651002534,0.05442962825462153
CA-Man,21,ENF,1999,233.20642614760803,-0.236,212.578,0.725114,779.6,702.322,746.254,663.529,55.8796,-98.4808,259,-3.2,520,NaN,NaN,1999.5,BOREAS NSA-D1850; NOBS,1.5,-98.48,55.88,Boreal,Forest,Natural,Evergreen,Mature,0.8,450,NA,NA,NA,244,NA,NA,NA,NA,0.0668628146864955,TRUE,-4.883333333333334,-3.253888888888889,0.06231203007518929,0.1871723899711428,441.33333333333337,507.13000000000005,3.6091729323309485,0.6691096119118335,389.3333333333333,525.3972222222222,0.8278822055138241,200.69547030647394,442.866671166664,NA,84.258,731.7411543624341,0.29534999253883143,0.3090740662662062,0.05199999868636951,0.04847036914590582
CA-NS7,22,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,1999.5,BOREAS NSA-W1998,1.5,-99.94,56.63,Boreal,Forest,Natural,Evergreen,Aggrading,0.8,450,NA,NA,NA,146,NA,NA,NA,NA,0.8209625665937097,FALSE,-5.261111111111112,-3.6519444444444447,0.05643483709273233,0.21807217782432448,343.0666666666667,458.28666666666663,2.0196240601503557,3.5453803127527603,377.1666666666667,530.3652777777778,0.6312030075188532,230.40747433032976,382.03332735364813,NA,95.338,740.7782425222531,0.29744999248578097,0.2559954480784654,0.0544499986244773,0.02880454472688143
CA-NS7,23,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,1999.5,BOREAS NSA-W1995,1.5,-99.98,56.46,Boreal,Forest,Natural,Deciduous,Aggrading,0.8,450,NA,NA,NA,380,NA,NA,NA,NA,19.649942260406377,FALSE,-4.677777777777778,-3.0786111111111114,0.053809523809524605,0.2354048456326406,361.33333333333337,475.3766666666667,2.66278195488722,2.487182431978754,387.30555555555554,543.85,0.8095864661654976,200.85038848046543,398.05277015725335,NA,87.62,756.9317900610038,0.2970999924946227,0.30304999234431307,0.05599999858532101,0.05147666536625669
CA-NS6,24,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,1999.5,BOREAS NSA-W1989,1.5,-98.98,55.9,Boreal,Forest,Natural,Deciduous,Aggrading,0.8,450,NA,NA,NA,300,NA,NA,NA,NA,2.0966941283567144,FALSE,-4.566666666666666,-2.9555555555555557,0.059172932330828286,0.2022332428626785,408.4666666666667,486.50666666666666,3.3721052631579527,0.8875869314442697,391.3611111111112,538.9833333333333,0.786716791980019,215.7558086923466,420.76388703771164,NA,59.254,741.7965724861672,0.2938999925754615,0.3166655092417355,0.05649999857268995,0.056713791670737354
CA-NS5,25,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,1999.5,BOREAS NSA-W1981,1.5,-98.48,55.86,Boreal,Forest,Natural,Mixed,Aggrading,0.8,450,NA,NA,NA,303,NA,NA,NA,NA,0.46507339384870067,FALSE,-4.883333333333334,-3.253888888888889,0.06231203007518929,0.1871723899711428,441.33333333333337,507.13000000000005,3.6091729323309485,0.6691096119118335,389.3333333333333,525.3972222222222,0.8278822055138241,200.69547030647394,442.866671166664,NA,77.349,731.7411543624341,0.29534999253883143,0.3090740662662062,0.05199999868636951,0.04847036914590582
CA-NS3,26,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,1999.5,BOREAS NSA-W1964,1.5,-98.39,55.92,Boreal,Forest,Natural,Evergreen,Aggrading,0.8,450,NA,NA,NA,256,NA,NA,NA,NA,1.0433796119301382,FALSE,-4.883333333333334,-3.253888888888889,0.06231203007518929,0.1871723899711428,441.33333333333337,507.13000000000005,3.6091729323309485,0.6691096119118335,389.3333333333333,525.3972222222222,0.8278822055138241,200.69547030647394,442.866671166664,NA,91.256,731.7411543624341,0.29534999253883143,0.3090740662662062,0.05199999868636951,0.04847036914590582
CA-NS2,27,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,1999.5,BOREAS NSA-W1930,1.5,-98.51,55.91,Boreal,Forest,Natural,Evergreen,Mature,0.8,450,NA,NA,NA,233,NA,NA,NA,NA,1.0286653446079552,FALSE,-4.566666666666666,-2.9555555555555557,0.059172932330828286,0.2022332428626785,408.4666666666667,486.50666666666666,3.3721052631579527,0.8875869314442697,391.3611111111112,538.9833333333333,0.786716791980019,215.7558086923466,420.76388703771164,NA,80.886,741.7965724861672,0.2979499924731499,0.3093111032972552,0.053399998651002534,0.05442962825462153
CA-Man,28,ENF,1999,233.20642614760803,-0.236,212.578,0.725114,779.6,702.322,746.254,663.529,55.8796,-98.4808,259,-3.2,520,NaN,NaN,1999.5,BOREAS NSA-W1850; NOBS,1.5,-98.48,55.88,Boreal,Forest,Natural,Evergreen,Mature,0.8,450,NA,NA,NA,264,NA,NA,NA,NA,0.0668628146864955,TRUE,-4.883333333333334,-3.253888888888889,0.06231203007518929,0.1871723899711428,441.33333333333337,507.13000000000005,3.6091729323309485,0.6691096119118335,389.3333333333333,525.3972222222222,0.8278822055138241,200.69547030647394,442.866671166664,NA,84.258,731.7411543624341,0.29534999253883143,0.3090740662662062,0.05199999868636951,0.04847036914590582
US-KS2,29,NA,1983.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,Ewel9,1,-82.11,29.95,Temperate,Forest,Managed,Evergreen,Aggrading,NA,NA,NA,NA,Exclusion,850,417,434,NA,NA,204.29131263091503,FALSE,20.7,20.560000000000002,-0.015601503759398162,0.32238830741256363,949.6000000000001,1358.1633333333334,-0.3948120300746675,11.358564537072265,1292.7083333333335,1244.1430555555557,0.9445175438596708,159.14196345750244,1736.7916259729554,NA,12.512,2059.6113116911674,0.23969999394466868,0.24120740131399576,0.041299998956674244,0.043562961862469954
US-KS2,30,NA,1983.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,Ewel29,1,-82.11,29.95,Temperate,Forest,Managed,Evergreen,Mature,NA,NA,NA,NA,Exclusion,1300,494,806,NA,NA,204.29131263091503,FALSE,20.7,20.560000000000002,-0.015601503759398162,0.32238830741256363,949.6000000000001,1358.1633333333334,-0.3948120300746675,11.358564537072265,1292.7083333333335,1244.1430555555557,0.9445175438596708,159.14196345750244,1736.7916259729554,NA,12.512,2059.6113116911674,0.23969999394466868,0.24120740131399576,0.041299998956674244,0.043562961862469954
US-MMS,31,NA,1976.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,1977,Oak Ridge,1,-84.29,35.99,Temperate,Forest,Natural,Deciduous,Mature,13.3,1265,NA,NA,Extraction,1065,692,373,1750,NA,415.17472753006524,FALSE,13.916666666666668,14.18638888888889,0.023176691729325665,0.28343540359430736,1244.8,1316.2133333333334,-6.780902255639222,5.463623832512312,1049.375,1025.3458333333335,1.7152255639098823,143.2449922241945,NA,NA,22.106,1477.0406368516926,0.3315999916230794,0.25280383976748383,0.07509999810281442,0.05316153711856504
US-MMS,32,NA,1976.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,1977,Oak Ridge,1,-84.29,35.99,Temperate,Forest,Natural,Deciduous,Mature,13.3,1265,NA,NA,NA,1036,NA,NA,1750,NA,415.17472753006524,FALSE,13.916666666666668,14.18638888888889,0.023176691729325665,0.28343540359430736,1244.8,1316.2133333333334,-6.780902255639222,5.463623832512312,1049.375,1025.3458333333335,1.7152255639098823,143.2449922241945,NA,NA,22.106,1477.0406368516926,0.3315999916230794,0.25280383976748383,0.07509999810281442,0.05316153711856504
DE-Geb,44,NA,1998.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,1999,Wiedenbrunnen2,4,11.87,50.13,Temperate,Forest,Natural,Evergreen,Mature,6,1019,NA,NA,NA,560,NA,NA,NA,NA,127.2452149583802,FALSE,8.239583333333334,7.075277777777778,0.021422305764410704,0.45238160485258283,702.65,648.51,6.096842105263052,1.628091591079474,622.0208333333334,605.7986111111112,1.084022556391015,189.1021107897773,1299.552063356746,NA,67.34,1208.289905153491,0.254374993573947,0.26941033802170844,0.04069999897183152,0.0431103437385273
DE-Geb,45,NA,1998.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,1999,Wiedenbrunnen2,4,11.87,50.13,Temperate,Forest,Natural,Evergreen,Mature,6,1019,NA,NA,NA,560,NA,NA,NA,NA,127.2452149583802,FALSE,8.239583333333334,7.075277777777778,0.021422305764410704,0.45238160485258283,702.65,648.51,6.096842105263052,1.628091591079474,622.0208333333334,605.7986111111112,1.084022556391015,189.1021107897773,1299.552063356746,NA,67.34,1208.289905153491,0.254374993573947,0.26941033802170844,0.04069999897183152,0.0431103437385273
DE-Geb,46,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.5,Wiedenbrunnen,1,11.87,50.13,Temperate,Forest,Managed,Evergreen,Aggrading,5.8,890,NA,NA,Exclusion,710,500,210,NA,NA,127.2452149583802,FALSE,8.041666666666666,7.075277777777778,0.021422305764410704,0.45238160485258283,757.9000000000001,648.51,6.096842105263052,1.628091591079474,623.5416666666667,605.7986111111112,1.084022556391015,189.1021107897773,1298.183296029265,NA,67.34,1155.6631872878027,0.2339999940886628,0.26941033802170844,0.041299998956674244,0.0431103437385273
DE-Geb,47,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.5,Wiedenbrunnen,1,11.87,50.13,Temperate,Forest,Managed,Evergreen,Aggrading,5.8,890,NA,NA,Exclusion,710,500,210,NA,NA,127.2452149583802,FALSE,8.041666666666666,7.075277777777778,0.021422305764410704,0.45238160485258283,757.9000000000001,648.51,6.096842105263052,1.628091591079474,623.5416666666667,605.7986111111112,1.084022556391015,189.1021107897773,1298.183296029265,NA,67.34,1155.6631872878027,0.2339999940886628,0.26941033802170844,0.041299998956674244,0.0431103437385273
DE-Geb,48,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.5,Wiedenbrunnen,1,11.87,50.13,Temperate,Forest,Managed,Evergreen,Aggrading,5.8,890,NA,NA,Exclusion,710,500,210,NA,NA,127.2452149583802,FALSE,8.041666666666666,7.075277777777778,0.021422305764410704,0.45238160485258283,757.9000000000001,648.51,6.096842105263052,1.628091591079474,623.5416666666667,605.7986111111112,1.084022556391015,189.1021107897773,1298.183296029265,NA,67.34,1155.6631872878027,0.2339999940886628,0.26941033802170844,0.041299998956674244,0.0431103437385273
AU-Cum,65,NA,1994.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,Arneth1,3,172.75,-42.87,Temperate,Forest,Managed,Evergreen,Aggrading,10.8,658,10,696,Subtraction,950,310,640,1810,1220,2173.0576597997706,FALSE,9.733333333333334,9.982777777777779,0.027136591478697087,0.12388923248724765,914.1666666666667,887.9433333333334,-2.8012781954888473,5.362381903662062,703.6388888888889,715.2986111111112,0.6266290726816971,101.80191852093941,1395.3138541751284,NA,15.873,1212.9006549603585,0.23439999407855794,0.22086666108710537,0.03949999900214607,0.03670333240612914
AU-Cum,66,NA,1995.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,Balmoral Forest plantation,1,172.75,-42.87,Temperate,Forest,Managed,Evergreen,Aggrading,10.8,547,9.9,532,NA,370,NA,NA,1690,1190,2173.0576597997706,FALSE,9.575000000000001,9.982777777777779,0.027136591478697087,0.12388923248724765,896.8,887.9433333333334,-2.8012781954888473,5.362381903662062,702.625,715.2986111111112,0.6266290726816971,101.80191852093941,1427.7583114186143,NA,15.873,1147.3820659240187,0.2314999941518181,0.22086666108710537,0.04099999896425288,0.03670333240612914
AU-Cum,67,NA,1996.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,Balmoral Forest plantation,1,172.75,-42.87,Temperate,Forest,Managed,Evergreen,Aggrading,10.8,640,9.5,715,NA,440,NA,NA,1840,1120,2173.0576597997706,FALSE,10.25,9.982777777777779,0.027136591478697087,0.12388923248724765,667,887.9433333333334,-2.8012781954888473,5.362381903662062,717.8333333333334,715.2986111111112,0.6266290726816971,101.80191852093941,1169.2166607062404,NA,15.873,1198.6264429172943,0.2330999941113987,0.22086666108710537,0.03699999906530138,0.03670333240612914
